puma_id,statefip,puma,puma_name,cbsa,cbsa_name,overlap_pct,is_metro,is_micro
0100100,01,00100,"Lauderdale, Colbert & Franklin Counties",22520,"Florence-Muscle Shoals, AL",0.8244,TRUE,FALSE
0100200,01,00200,Limestone County,26620,"Huntsville, AL",1,TRUE,FALSE
0100300,01,00300,Morgan & Lawrence Counties--Decatur City,19460,"Decatur, AL",1,TRUE,FALSE
0100401,01,00401,Madison County (North & East)--Huntsville City (East),26620,"Huntsville, AL",1,TRUE,FALSE
0100402,01,00402,"Huntsville (North & Far West), Madison (East) & Triana Cities",26620,"Huntsville, AL",1,TRUE,FALSE
0100403,01,00403,Huntsville City (Central & South),26620,"Huntsville, AL",1,TRUE,FALSE
0100501,01,00501,Marshall & Madison (Far Southeast) Counties,10700,"Albertville, AL",0.8779,TRUE,TRUE
0100600,01,00600,DeKalb & Jackson Counties,22840,"Fort Payne, AL",0.5766,TRUE,TRUE
0100700,01,00700,Etowah & Cherokee Counties,23460,"Gadsden, AL",0.8055,TRUE,FALSE
0100800,01,00800,Calhoun County,11500,"Anniston-Oxford, AL",1,TRUE,FALSE
0100900,01,00900,St. Clair & Blount Counties,13820,"Birmingham-Hoover, AL",1,TRUE,FALSE
0101000,01,01000,"Cullman, Marion & Winston Counties",18980,"Cullman, AL",0.6243,TRUE,TRUE
0101100,01,01100,West Alabama,,Non-metropolitan,,FALSE,FALSE
0101201,01,01201,Tuscaloosa County (Outer)--Northport City (North & West),46220,"Tuscaloosa, AL",1,TRUE,FALSE
0101202,01,01202,Tuscaloosa & Northport (Southeast) Cities,46220,"Tuscaloosa, AL",1,TRUE,FALSE
0101301,01,01301,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",27530,"Jasper, AL",0.5642,TRUE,
0101401,01,01401,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",13820,"Birmingham-Hoover, AL",1,TRUE,FALSE
0101402,01,01402,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",13820,"Birmingham-Hoover, AL",1,TRUE,FALSE
0101403,01,01403,Birmingham City,13820,"Birmingham-Hoover, AL",1,TRUE,FALSE
0101404,01,01404,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",13820,"Birmingham-Hoover, AL",1,TRUE,FALSE
0101501,01,01501,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",13820,"Birmingham-Hoover, AL",1,TRUE,FALSE
0101502,01,01502,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,13820,"Birmingham-Hoover, AL",1,TRUE,FALSE
0101600,01,01600,"Talladega, Randolph, Cleburne & Clay Counties",45180,"Talladega-Sylacauga, AL",0.6158,TRUE,TRUE
0101700,01,01700,"Autauga, Dallas, Lowndes & Perry Counties",33860,"Montgomery, AL",0.5954,TRUE,FALSE
0101801,01,01801,Montgomery City (West),33860,"Montgomery, AL",1,TRUE,FALSE
0101802,01,01802,Montgomery City (East) & Pike Road Town (Northwest),33860,"Montgomery, AL",1,TRUE,FALSE
0101901,01,01901,Elmore & Montgomery (South & Far East) Counties,33860,"Montgomery, AL",1,TRUE,FALSE
0102000,01,02000,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",,Non-metropolitan,,FALSE,FALSE
0102101,01,02101,Lee County (West)--Auburn & Opelika Cities,12220,"Auburn-Opelika, AL",1,TRUE,FALSE
0102201,01,02201,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,17980,"Columbus, GA-AL",0.5609,TRUE,FALSE
0102300,01,02300,"Houston, Geneva & Henry Counties--Dothan City",20020,"Dothan, AL",1,TRUE,FALSE
0102400,01,02400,Coffee & Dale Counties,21460,"Enterprise, AL",0.5201,TRUE,TRUE
0102500,01,02500,"Covington, Pike, Barbour, Butler & Crenshaw Counties",,Non-metropolitan,,FALSE,FALSE
0102600,01,02600,Southwest Alabama,,Non-metropolitan,,FALSE,FALSE
0102701,01,02701,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",19300,"Daphne-Fairhope-Foley, AL",1,TRUE,FALSE
0102702,01,02702,"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",19300,"Daphne-Fairhope-Foley, AL",1,TRUE,FALSE
0102801,01,02801,Mobile County (Outer)--Prichard & Saraland Cities,33660,"Mobile, AL",1,TRUE,FALSE
0102802,01,02802,Mobile City (West) & Tillmans Corner CDP,33660,"Mobile, AL",1,TRUE,FALSE
0102803,01,02803,Mobile City (East),33660,"Mobile, AL",1,TRUE,FALSE
0200101,02,00101,Anchorage Municipality (North),11260,"Anchorage, AK",1,TRUE,FALSE
0200102,02,00102,Anchorage Municipality (South),11260,"Anchorage, AK",1,TRUE,FALSE
0200200,02,00200,Matanuska-Susitna & Kenai Peninsula Boroughs,11260,"Anchorage, AK",0.6455,TRUE,FALSE
0200300,02,00300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",21820,"Fairbanks, AK",0.5857,TRUE,FALSE
0200400,02,00400,Subsistence Alaska,,Non-metropolitan,,FALSE,FALSE
0400101,04,00101,Maricopa County--Mesa City (East),38060,"Phoenix-Mesa-Chandler, AZ",1,TRUE,FALSE
0400102,04,00102,Maricopa County--Mesa City (North Central),38060,"Phoenix-Mesa-Chandler, AZ",1,TRUE,FALSE
0400103,04,00103,Maricopa County--Mesa City (West),38060,"Phoenix-Mesa-Chandler, AZ",1,TRUE,FALSE
0400104,04,00104,Maricopa County--Mesa City (South Central),38060,"Phoenix-Mesa-Chandler, AZ",1,TRUE,FALSE
0400105,04,00105,Maricopa County--Gilbert Town (North),38060,"Phoenix-Mesa-Chandler, AZ",1,TRUE,FALSE
